trip_id,delay,timestamp,temperature,precipitation,rain,showers,snowfall
1984195,41,1784921890,25.5,0.0,0.0,0.0,0.0
1984250,0,1784921977,25.5,0.0,0.0,0.0,0.0
1984630,0,1784925540,25.5,0.0,0.0,0.0,0.0
1985302,-25,1784921929,25.5,0.0,0.0,0.0,0.0
1989427,0,1784923020,25.5,0.0,0.0,0.0,0.0
1984886,-102,1784924478,25.5,0.0,0.0,0.0,0.0
1985334,0,1784923200,25.5,0.0,0.0,0.0,0.0
1988782,-219,1784921805,25.5,0.0,0.0,0.0,0.0
1997278,152,1784923172,25.5,0.0,0.0,0.0,0.0
1989025,340,1784921899,25.5,0.0,0.0,0.0,0.0
1996116,0,1784923200,25.5,0.0,0.0,0.0,0.0
1989206,0,1784922600,25.5,0.0,0.0,0.0,0.0
1984961,-558,1784921442,25.5,0.0,0.0,0.0,0.0
1995744,-50,1784921957,25.5,0.0,0.0,0.0,0.0
1996181,1398,1784921975,25.5,0.0,0.0,0.0,0.0
1996453,0,1784923200,25.5,0.0,0.0,0.0,0.0
1984700,0,1784923620,25.5,0.0,0.0,0.0,0.0
1997039,-428,1784921932,25.5,0.0,0.0,0.0,0.0
1992947,0,1784923380,25.5,0.0,0.0,0.0,0.0
1996855,255,1784922795,25.5,0.0,0.0,0.0,0.0
1996645,227,1784921926,25.5,0.0,0.0,0.0,0.0
1996916,-47,1784923453,25.5,0.0,0.0,0.0,0.0
1989208,0,1784924520,25.5,0.0,0.0,0.0,0.0
1984520,246,1784921936,25.5,0.0,0.0,0.0,0.0
1995525,-221,1784921726,25.5,0.0,0.0,0.0,0.0
1992722,0,1784922600,25.5,0.0,0.0,0.0,0.0
1992759,-128,1784921812,25.5,0.0,0.0,0.0,0.0
1997279,0,1784923860,25.5,0.0,0.0,0.0,0.0
1989202,-103,1784921957,25.5,0.0,0.0,0.0,0.0
1984867,-91,1784925329,25.5,0.0,0.0,0.0,0.0
1985061,84,1784921961,25.5,0.0,0.0,0.0,0.0
1992720,-166,1784921776,25.5,0.0,0.0,0.0,0.0
1995925,-94,1784921883,25.5,0.0,0.0,0.0,0.0
1997166,896,1784922116,25.5,0.0,0.0,0.0,0.0
1996760,0,1784923920,25.5,0.0,0.0,0.0,0.0
1997038,257,1784921921,25.5,0.0,0.0,0.0,0.0
1992976,-221,1784922859,25.5,0.0,0.0,0.0,0.0
1984754,198,1784921953,25.5,0.0,0.0,0.0,0.0
1993033,0,1784925480,25.5,0.0,0.0,0.0,0.0
