route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
BUR OAK / PIERRE ELLIOTT TRUDEAU SS,3,FFFFFF,626469,YRT,402,,,402
FATHER BRESSANI SS,3,FFFFFF,A3248F,YRT,469,,,469
EMILY CARR SS VIA KLEINBURG,3,FFFFFF,A3248F,YRT,468,,,468
ST JOAN OF ARC SS VIA MELVILLE,3,FFFFFF,626469,YRT,465,,,465
ST JOAN OF ARC SS VIA AMERICA,3,FFFFFF,626469,YRT,464,,,464
TOMMY DOUGLAS SS VIA CITYVIEW,3,FFFFFF,A3248F,YRT,467,,,467
TOMMY DOUGLAS SS VIA FOSSIL HILL,3,FFFFFF,626469,YRT,466,,,466
EMILY CARR SS VIA ROYALPARK,3,FFFFFF,626469,YRT,461,,,461
HOLY CROSS SS,3,FFFFFF,626469,YRT,460,,,460
ST. JOAN OF ARC SS VIA KEELE,3,FFFFFF,A3248F,YRT,463,,,463
MAPLE SS,3,FFFFFF,626469,YRT,462,,,462
YONGE,3,FFFFFF,684287,YRT,99,,,099
YONGE,3,FFFFFF,007647,YRT,98,,,098
BAYVIEW,3,FFFFFF,A37C53,YRT,91,,,091
LESLIE,3,FFFFFF,F58220,YRT,90,,,090
KEELE - YONGE,3,FFFFFF,496E6E,YRT,96,,,096
WOODBRIDGE,3,FFFFFF,66A6BC,YRT,10,,,010
ISLINGTON,3,FFFFFF,A17D7D,YRT,13,,,013
PINE VALLEY,3,FFFFFF,6DC069,YRT,12,,,012
14TH AVENUE,3,FFFFFF,66A6BC,YRT,14,,,014
16TH AVENUE,3,FFFFFF,4B6CB4,YRT,16,,,016
BUR OAK,3,FFFFFF,6DC069,YRT,18,,,018
BATHURST,3,FFFFFF,00A88E,YRT,88,,,088
SACRED HEART SS VIA STONEHAVEN,3,FFFFFF,626469,YRT,427,,,427
VIVA ORANGE,3,111111,FBAF33,YRT,605,,,orange
VIVA YELLOW,3,111111,FFDD00,YRT,607,,,yellow
VIVA BLUE,3,FFFFFF,009CDB,YRT,601,,,blue
VIVA PURPLE,3,FFFFFF,9461A8,YRT,603,,,purple
VIVA PURPLE A,3,FFFFFF,A3248F,YRT,60301,,,purple A
BAYVIEW,3,FFFFFF,A37C53,YRT,9102,,,091B
BRISTOL,3,FFFFFF,66A6BC,YRT,44,,,044
UNIONVILLE,3,FFFFFF,806A50,YRT,40,,,040
HIGHWAY 7,3,FFFFFF,496E6E,YRT,1,,,001
JANE EXPRESS,3,FFFFFF,A3248F,YRT,320,,,320
CLARK,3,FFFFFF,496E6E,YRT,5,,,005
NINTH LINE,3,FFFFFF,F58220,YRT,9,,,009
YONGE (LATE NIGHT),3,FFFFFF,007647,YRT,9899,,,098|099
HIGHWAY 7,3,FFFFFF,00AEEF,YRT,77,,,077
STEPHEN LEWIS SS VIA THOMAS COOK,3,FFFFFF,A3248F,YRT,473,,,473
WESTMOUNT SS,3,FFFFFF,A3248F,YRT,470,,,470
STEPHEN LEWIS SS VIA TEN OAKS,3,FFFFFF,A3248F,YRT,471,,,471
