service_id,date,exception_type
150.24610.1,20251103,1
150.24611.1,20251103,1
150.24612.1,20251103,1
150.35254.1,20251103,1
150.24610.1,20251104,1
150.24611.1,20251104,1
150.24612.1,20251104,1
150.35254.1,20251104,1
150.24610.1,20251105,1
150.24611.1,20251105,1
150.24612.1,20251105,1
150.35254.1,20251105,1
150.24610.1,20251106,1
150.24611.1,20251106,1
150.24612.1,20251106,1
150.35254.1,20251106,1
150.24610.1,20251107,1
150.24611.1,20251107,1
150.24612.1,20251107,1
150.35254.1,20251107,1
150.24610.1,20251110,1
150.24611.1,20251110,1
150.24612.1,20251110,1
150.35254.1,20251110,1
150.24610.1,20251111,1
150.24611.1,20251111,1
150.24612.1,20251111,1
150.35254.1,20251111,1
150.24610.1,20251112,1
150.24611.1,20251112,1
150.24612.1,20251112,1
150.35254.1,20251112,1
150.24610.1,20251113,1
150.24611.1,20251113,1
150.24612.1,20251113,1
150.35254.1,20251113,1
150.24610.1,20251114,1
150.24611.1,20251114,1
150.24612.1,20251114,1
150.35254.1,20251114,1
150.24610.1,20251117,1
150.24611.1,20251117,1
150.24612.1,20251117,1
150.35254.1,20251117,1
150.24610.1,20251118,1
150.24611.1,20251118,1
150.24612.1,20251118,1
150.35254.1,20251118,1
150.24610.1,20251119,1
150.24611.1,20251119,1
150.24612.1,20251119,1
150.35254.1,20251119,1
150.24610.1,20251120,1
150.24611.1,20251120,1
150.24612.1,20251120,1
150.35254.1,20251120,1
150.35254.1,20251121,1
150.24610.1,20251124,1
150.24611.1,20251124,1
150.24612.1,20251124,1
150.35254.1,20251124,1
150.24610.1,20251125,1
150.24611.1,20251125,1
150.24612.1,20251125,1
150.35254.1,20251125,1
150.24610.1,20251126,1
150.24611.1,20251126,1
150.24612.1,20251126,1
150.35254.1,20251126,1
150.24610.1,20251127,1
150.24611.1,20251127,1
150.24612.1,20251127,1
150.35254.1,20251127,1
150.24610.1,20251128,1
150.24611.1,20251128,1
150.24612.1,20251128,1
150.32678.1,20251128,1
150.35255.1,20251128,1
150.24610.1,20251201,1
150.24611.1,20251201,1
150.24612.1,20251201,1
150.35254.1,20251201,1
150.24610.1,20251202,1
150.24611.1,20251202,1
150.24612.1,20251202,1
150.35254.1,20251202,1
150.24610.1,20251203,1
150.24611.1,20251203,1
150.24612.1,20251203,1
150.35254.1,20251203,1
150.24610.1,20251204,1
150.24611.1,20251204,1
150.24612.1,20251204,1
150.35254.1,20251204,1
150.24610.1,20251205,1
150.24611.1,20251205,1
150.24612.1,20251205,1
150.35254.1,20251205,1
150.24610.1,20251208,1
150.24611.1,20251208,1
150.24612.1,20251208,1
150.35254.1,20251208,1
150.24610.1,20251209,1
150.24611.1,20251209,1
150.24612.1,20251209,1
150.35254.1,20251209,1
150.24610.1,20251210,1
150.24611.1,20251210,1
150.24612.1,20251210,1
150.35254.1,20251210,1
150.24610.1,20251211,1
150.24611.1,20251211,1
150.24612.1,20251211,1
150.35254.1,20251211,1
150.24610.1,20251212,1
150.24611.1,20251212,1
150.24612.1,20251212,1
150.35254.1,20251212,1
150.24610.1,20251215,1
150.24611.1,20251215,1
150.24612.1,20251215,1
150.35254.1,20251215,1
150.24610.1,20251216,1
150.24611.1,20251216,1
150.24612.1,20251216,1
150.35254.1,20251216,1
150.24610.1,20251217,1
150.24611.1,20251217,1
150.24612.1,20251217,1
150.35254.1,20251217,1
150.24610.1,20251218,1
150.24611.1,20251218,1
150.24612.1,20251218,1
150.35254.1,20251218,1
150.24610.1,20251219,1
150.24611.1,20251219,1
150.24612.1,20251219,1
150.35196.1,20251219,1
150.35254.1,20251219,1
